frame_id,condition,sent,comp_q,comp_a,type,version_id
15,NonTeleEvery,"After the exam, every student reviewed the answers and he discussed the questions with some classmates.",Did the events described happen before the exam?,0,target,1
9,filler8,"Before the musical, most visitors bought a booklet and found a seat in the auditorium.","In the events described, is the booklet being sold for a fee?",1,filler,1
13,filler12,"Over spring break, some students relaxed at home and played video games all day long.",None,None,filler,1
20,NonTeleEach,"Around late afternoon, each gardener trimmed the hedges and he fertilized the soil with fresh compost.",None,None,target,1
16,filler15,"After the storm, several volunteers organized relief efforts and delivered food to those in need.",None,None,filler,1
2,filler1,"Before the party, many guests changed their clothes and put on makeup in the bathroom.",Did the events described happen before the party?,1,filler,1
19,filler18,"Over the holidays, most neighbors shared homemade treats and decorated the streets in the neighborhood.",None,None,filler,1
12,NonTeleEvery,"Before the announcement, every reporter positioned the cameras and he adjusted the framing for the shot.",None,None,target,1
3,NonTeleThe,"On Monday morning, the student arrived in class. He opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target,1
9,TeleEach,"After lunch break, each employee joined the meeting. He received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target,1
14,filler13,"After midnight yesterday, some neighbors heard strange noises and called the police to their house.",Did the noises occur after midnight?,1,filler,1
13,NonTeleEvery,"Before the trial, every lawyer reviewed the case and he arranged the papers on the desk.",Did the events described happen before the trial?,1,target,1
18,NonTeleEach,"Before the dinner, each chef organized the ingredients and he marinated the meat in the fridge.",None,None,target,1
7,filler6,"During the tour, both guides explained the exhibit and handed out brochures to the visitors.","In the events described, did the visitors receive a souvenir?",0,filler,1
5,NonTeleThe,"During early rehearsals, the musician checked the acoustics. He practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target,1
7,TeleEach,"In the morning, each student entered the classroom. He greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target,1
14,NonTeleEvery,"Before the parade, every drummer checked the drumsticks and he practiced quick beats on the snare.",None,None,target,1
8,TeleEach,"Yesterday at noon, each officer entered the station. He grabbed a coffee from the kitchen.",None,None,target,1
20,filler19,"Around late spring, most travelers booked summer vacations and planned a trip to beach destinations.",Were most summer vacations planned to hiking destinations?,0,filler,1
11,filler10,"Before the lecture, many students reviewed their notes and refreshed key concepts from last class.",None,None,filler,1
19,NonTeleEach,"In the morning, each artist mixed acrylic paint and he applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target,1
1,filler0,"After the meeting, many attendees left the office and grabbed a lunchbox in the lounge.","In the events described, was the lunchbox in the conference room?",0,filler,1
15,filler14,"During the festival, several musicians performed on stage and entertained the crowd with catchy songs.",None,None,filler,1
2,NonTeleThe,"At early sunrise, the fisherman sailed to sea. He cast a net into the water.",None,None,target,1
5,filler4,"After the match, several players thanked their coach and gave interviews in the waiting room.",Did the events described take place on the football field?,0,filler,1
18,filler17,"Before the deadline, both writers edited the manuscript and formatted the document on their tablets.",None,None,filler,1
12,filler11,"On Friday morning, many shoppers visited the mall and bought groceries for the long weekend.",None,None,filler,1
17,filler16,"After classes ended, both janitors cleaned the floors and restocked paper towels in the bathrooms.",Did the paper towels in the bathrooms get restocked?,1,filler,1
6,filler5,"During the workshop, several speakers shared their ideas and answered questions directly from the attendees.","In the events described, did workshop attendees ask questions?",1,filler,1
11,NonTeleEvery,"After the practice, every athlete organized the locker and he placed the helmet on the shelf.",Did the events described happen after practice?,1,target,1
3,filler2,"After the ceremony, some graduates received a gift and took photos together near the stage.",None,None,filler,1
10,TeleEach,"After training hours, each player left the field. He took a shower in the building.",None,None,target,1
1,NonTeleThe,"Just before showtime, the performer stepped on stage. He adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target,1
8,filler7,"After the surgery, both surgeons reviewed the procedure and talked about the next treatment steps.",None,None,filler,1
10,filler9,"In early fall, most teachers introduced new topics and prepared the class for the semester.",None,None,filler,1
16,NonTeleEach,"Ahead of showtime, each stylist checked the mirror and he fixed the makeup behind the curtain.",None,None,target,1
4,NonTeleThe,"On Sunday morning, the visitor entered the museum. He took some photos of the exhibition.",None,None,target,1
4,filler3,"After the project, some architects discussed the design and made small adjustments to the blueprint.","In the events described, were the adjustments made to the budget plan?",0,filler,1
17,NonTeleEach,"Before the audition, each singer entered the studio and he collected a nametag at the reception.",Did the events described take place in a studio?,1,target,1
6,TeleEach,"In the evening, each guest entered the hall. He took a program from the entrance.",None,None,target,1
